states	PB2	PA	HA	NP	NA	MP	NS
31640000	2	5	3	5	3	2	5
31660000	2	6	3	5	2	2	5
31680000	2	5	3	6	2	2	5
31700000	2	5	3	6	2	4	4
31720000	3	5	3	5	2	2	3
31740000	2	5	4	5	2	2	4
31760000	2	7	3	5	2	2	4
31780000	2	5	3	5	2	2	3
31800000	2	8	3	5	3	2	3
31820000	2	5	3	5	2	2	3
31840000	2	4	3	5	2	2	6
31860000	2	4	4	5	2	2	5
31880000	2	5	3	5	2	2	4
31900000	2	6	4	5	2	2	5
31920000	2	5	4	5	2	2	5
31940000	2	6	4	5	2	2	5
31960000	2	5	3	5	2	2	6
31980000	2	4	4	5	2	2	4
32000000	2	6	3	5	2	2	4
32020000	2	4	3	5	2	2	4
32040000	2	4	3	5	2	2	3
32060000	2	5	4	5	2	2	3
32080000	3	5	4	6	2	2	4
32100000	2	5	3	5	2	2	4
32120000	2	5	3	5	2	2	5
32140000	3	5	3	5	2	2	5
32160000	2	6	3	5	2	2	4
32180000	2	5	3	5	2	2	3
32200000	2	5	3	5	2	2	4
32220000	3	5	3	5	2	2	3
32240000	2	4	4	5	2	2	4
32260000	3	5	3	5	2	3	3
32280000	2	6	3	7	2	4	4
32300000	2	6	3	8	2	2	4
32320000	3	5	3	7	3	2	3
32340000	2	5	3	5	2	2	4
32360000	2	6	3	5	2	2	4
32380000	2	5	3	6	2	2	5
32400000	2	6	3	5	2	2	4
32420000	2	5	3	5	2	2	5
32440000	2	5	3	7	2	2	4
32460000	2	5	5	5	2	2	4
32480000	2	5	3	5	2	2	4
32500000	2	5	3	5	2	2	5
32520000	2	5	3	5	2	2	5
32540000	2	5	3	7	2	2	6
32560000	2	5	4	5	2	2	6
32580000	3	6	4	5	2	2	4
32600000	2	5	3	5	3	2	4
32620000	3	5	3	6	2	2	4
32640000	2	5	3	5	2	2	4
32660000	2	5	3	5	2	2	4
32680000	2	5	3	5	2	2	6
32700000	2	5	4	5	2	2	4
32720000	2	5	3	5	2	2	4
32740000	2	5	4	5	2	2	4
32760000	3	6	4	5	2	2	4
32780000	2	5	4	5	2	3	5
32800000	3	5	3	7	2	2	5
32820000	2	5	3	5	2	2	5
32840000	3	5	4	5	2	2	4
32860000	2	5	3	5	2	2	4
32880000	2	5	3	5	2	2	3
32900000	3	4	3	5	3	2	3
32920000	2	5	3	5	2	4	5
32940000	2	5	4	5	2	2	4
32960000	2	5	3	5	2	2	4
32980000	2	4	3	5	2	2	4
33000000	2	5	3	5	2	2	5
33020000	2	5	3	5	2	2	4
33040000	2	5	3	5	2	2	4
33060000	2	5	3	5	2	2	6
33080000	2	5	3	5	3	2	3
33100000	2	6	3	5	2	2	3
33120000	2	5	3	5	2	2	4
33140000	3	5	3	5	2	2	3
33160000	2	6	3	5	3	2	4
33180000	2	5	3	7	2	2	4
33200000	2	6	3	5	2	2	4
33220000	3	4	4	5	3	2	4
33240000	2	6	3	5	2	2	4
33260000	2	6	3	5	2	2	6
33280000	2	5	4	6	2	2	6
33300000	2	10	4	5	2	2	5
33320000	2	5	3	5	2	2	5
33340000	2	5	4	5	2	2	5
33360000	2	4	4	5	2	2	4
33380000	3	5	3	5	2	2	5
33400000	2	5	3	5	2	2	4
33420000	2	4	4	5	2	2	5
33440000	2	5	3	5	2	2	4
