states	PB1	PB2	PA	HA	NP	NA	NS
33200000	4	4	5	6	4	2	8
33220000	4	5	2	4	4	2	10
33240000	6	5	3	5	4	2	10
33260000	4	4	3	7	5	3	10
33280000	4	4	2	5	5	3	9
33300000	6	4	2	5	3	2	8
33320000	4	4	3	5	3	2	8
33340000	5	3	5	5	3	2	10
33360000	4	6	6	5	3	2	10
33380000	5	4	3	5	3	3	9
33400000	4	4	3	5	4	3	9
33420000	4	4	3	5	3	3	11
33440000	5	4	4	5	5	2	8
33460000	5	4	5	5	3	3	8
33480000	4	4	6	5	3	3	10
33500000	4	4	5	5	4	3	9
33520000	4	3	3	6	3	2	9
33540000	5	4	3	5	4	3	10
33560000	4	4	4	5	4	3	9
33580000	4	4	2	5	4	3	11
33600000	4	4	2	5	4	5	9
33620000	4	4	2	5	5	2	10
33640000	4	4	2	5	4	2	12
33660000	4	4	2	4	4	2	12
33680000	5	3	2	5	5	2	10
33700000	6	4	2	5	5	2	9
33720000	6	4	3	5	6	3	9
33740000	5	6	3	5	4	3	9
33760000	5	4	3	5	4	2	9
33780000	6	4	2	5	4	3	9
33800000	5	4	2	6	4	2	9
33820000	4	4	2	5	4	2	9
33840000	4	4	3	6	4	2	10
33860000	4	4	5	5	3	2	9
33880000	4	4	2	5	3	2	11
33900000	4	4	3	5	3	2	11
33920000	4	4	3	5	4	2	9
33940000	4	4	4	5	3	2	9
33960000	4	4	5	5	3	2	9
33980000	4	3	4	5	3	2	9
34000000	5	4	3	5	4	3	9
34020000	5	4	4	5	3	2	8
34040000	6	4	3	5	3	2	11
34060000	5	5	3	5	4	4	9
34080000	4	4	4	5	3	3	11
34100000	4	4	6	5	3	2	9
34120000	4	5	3	5	3	2	9
34140000	4	4	4	5	3	2	10
34160000	4	4	7	5	3	2	9
34180000	4	4	3	5	3	2	8
34200000	4	4	3	7	3	2	9
34220000	4	4	3	5	4	3	9
34240000	4	4	4	5	3	2	11
34260000	4	4	2	5	3	3	14
34280000	5	3	2	6	3	2	10
34300000	4	4	2	4	3	3	10
34320000	5	3	3	5	4	2	9
34340000	4	3	2	5	4	2	9
34360000	4	5	2	4	4	2	9
34380000	4	4	3	5	4	3	11
34400000	4	3	3	5	4	2	9
34420000	4	4	5	5	7	2	10
34440000	4	4	3	5	4	3	10
34460000	4	4	2	6	4	4	9
34480000	4	3	2	5	4	4	9
34500000	4	4	3	5	4	2	10
34520000	4	4	3	5	5	3	10
34540000	4	4	2	5	5	3	11
34560000	4	4	2	5	5	3	8
34580000	4	5	4	6	3	3	14
34600000	6	3	3	5	4	2	10
34620000	4	4	2	4	3	2	11
34640000	5	4	2	5	3	2	9
34660000	4	4	5	5	3	2	9
34680000	4	4	4	5	3	3	8
34700000	5	4	3	5	3	3	12
34720000	5	4	4	5	4	2	9
34740000	4	4	3	5	4	3	9
34760000	5	4	3	5	5	2	10
34780000	4	4	4	6	3	5	10
34800000	4	4	4	5	3	4	9
34820000	4	4	4	5	5	3	10
34840000	4	4	3	5	3	3	10
34860000	4	4	3	5	5	3	11
34880000	4	4	3	5	3	3	10
34900000	5	4	3	5	3	3	11
34920000	4	4	3	5	3	2	10
34940000	4	4	4	5	3	5	10
34960000	5	4	3	5	3	3	10
34980000	4	5	3	5	3	3	10
35000000	4	3	5	5	3	2	11
35020000	4	4	5	5	3	3	10
35040000	4	4	3	5	3	2	10
35060000	4	4	3	5	3	2	9
35080000	5	7	3	5	3	3	10
35100000	4	3	5	5	3	2	10
35120000	4	4	3	5	4	2	9
35140000	4	3	3	5	3	2	9
35160000	4	3	4	5	3	2	9
35180000	5	4	4	5	3	2	9
35200000	5	3	4	5	3	2	11
35220000	5	4	3	5	3	3	8
35240000	5	4	3	5	3	2	8
35260000	4	5	3	5	3	2	9
35280000	4	4	3	5	3	2	8
35300000	4	3	3	5	7	2	9
35320000	4	4	3	5	3	2	9
35340000	4	4	4	6	3	2	13
